document_name,total_tokens_incl_punct,total_words_excl_punct,total_words_excl_punct_stop,TTR,herdan_c,guiraud_r,lexical_density,FRE,FKGL,num_sentences,avg_sentence_length,avg_word_length,rel_freq_function_words,pos_NOUN,pos_VERB,pos_AUX,pos_ADJ,pos_ADV,pos_PRON,pos_ADP,pos_CCONJ,pos_SCONJ,pos_OTHER,top_10_tfidf_terms
AR1_WG3_SPM.spacy,16983,14925,9043,0.21972796638283756,0.8336545309297265,20.894962771029245,0.6410050251256282,18.204613712027793,16.52375480443035,555,26.89189189189189,5.7121608040201,35.551088777219434,32.03350083752094,10.251256281407036,4.355108877721943,11.256281407035177,2.7604690117252932,2.1976549413735342,13.252931323283082,5.380234505862647,1.2663316582914574,17.246231155778894,emission:0.3439; change:0.2305; gas:0.2026; energy:0.1934; climate:0.1934; country:0.1729; greenhouse:0.1655; use:0.1580; develop:0.1432; resource:0.1364
AR2_WG3_SPM.spacy,11224,10018,5767,0.22542049592509103,0.8279672403347617,17.118605220712883,0.6208824116590138,16.301278450363213,16.848523809523815,420,23.85238095238095,5.70083849071671,37.67219005789579,32.51147933719305,10.36134957077261,5.220602914753444,12.687163106408464,3.2341784787382712,2.10620882411659,13.795168696346577,4.841285685765622,1.3775204631663005,13.865042922739072,cost:0.3520; change:0.2900; climate:0.2848; country:0.2090; emission:0.2012; damage:0.1663; economic:0.1542; equity:0.1427; policy:0.1333; estimate:0.1259
AR3_WG3_SPM.spacy,9739,8421,5261,0.24843185706139517,0.8374679889846368,18.01944608414042,0.657522859517872,18.425260446627505,16.48062805589436,343,24.551020408163264,5.6252226576416104,33.78458615366346,32.73957962237264,8.977556109725686,3.8831492696829355,11.364446027787674,2.5175157344733403,1.7931362071012944,13.466334164588527,5.320033250207814,1.1400071250445314,18.798242489015557,cost:0.3231; emission:0.2692; mitigation:0.1977; gas:0.1862; change:0.1805; scenario:0.1569; reduction:0.1506; climate:0.1489; country:0.1461; carbon:0.1432
AR4_WG3_SPM.spacy,14496,12097,8086,0.22174128122681178,0.8326003020006004,19.939461307660082,0.6965363313218154,24.779752181370753,14.840734432097847,558,21.67921146953405,5.399933867901132,29.23038769942961,32.173266099032816,8.390510043812515,3.8191287095974205,10.903529800777052,2.355956022154253,1.5789038604612713,11.961643382656858,4.463916673555427,0.8514507729189056,23.50169463503348,emission:0.3420; mitigation:0.2347; eq:0.2250; spm:0.1957; co2:0.1912; energy:0.1789; cost:0.1443; global:0.1356; ghg:0.1348; potential:0.1313
AR5_WG3_SPM.spacy,17667,14621,9399,0.19640387275242047,0.8220902525417781,19.041049054633735,0.6775186375760892,24.65202796170084,15.059467884530513,580,25.208620689655174,5.46508446754668,32.0019150536899,31.70097804527734,8.282607208809246,3.6591204431981397,11.729703850625812,2.749469940496546,1.40209288010396,14.0209288010396,4.370426099446003,0.9438478900212023,21.14082484098215,emission:0.3030; mitigation:0.2447; scenario:0.2330; energy:0.1943; evidence:0.1911; high:0.1676; co2eq:0.1631; spm:0.1573; medium:0.1508; figure:0.1444
AR6_WG3_SPM.spacy,26100,21721,14328,0.14670575097710775,0.7994428192533825,17.56062323933523,0.6825652594263616,21.964977589563034,15.24178446578043,896,24.2421875,5.559228396482666,31.181805625891997,32.67344965701395,10.611850283136135,3.3469913908199436,12.55927443487869,2.126973896229455,1.5284747479397818,13.590534505777818,5.911330049261084,0.695179779936467,16.955941255006675,confidence:0.4142; emission:0.4038; high:0.2604; mitigation:0.2071; pathway:0.1906; ghg:0.1851; global:0.1670; spm:0.1445; warm:0.1135; 2019:0.1118
Wiki_CCM_2005-06-26.spacy,1459,1286,769,0.5630689206762028,0.9135672868680257,15.614379355350499,0.6423017107309487,31.48378170289857,15.415081521739136,48,26.791666666666668,5.163297045101088,35.69206842923795,26.360808709175735,11.04199066874028,3.7325038880248838,7.2317262830482125,2.2550544323483668,2.7993779160186625,12.674961119751165,2.5660964230171075,1.6329704510108864,29.704510108864696,global:0.2379; 2005:0.2301; warming:0.2259; energy:0.2221; change:0.2062; kyoto:0.1905; climate:0.1904; emission:0.1904; carbon:0.1745; protocol:0.1738
Wiki_CCM_2008-05-07.spacy,8156,7192,4466,0.364308105687416,0.8798517995626771,24.34603228358629,0.6635150166852057,26.22429591324095,15.658719085255864,263,27.346007604562736,5.379310344827586,33.46774193548387,27.46106785317019,10.261401557285874,4.254727474972191,8.9265850945495,2.9199110122358176,2.238598442714127,12.583426028921025,3.3231368186874306,1.181868743047831,26.84927697441602,energy:0.3701; carbon:0.2628; emission:0.2295; climate:0.2073; global:0.2073; warming:0.1986; change:0.1851; gas:0.1591; reduce:0.1517; power:0.1517
Wiki_CCM_2014-09-02.spacy,14888,12737,7997,0.29486057271476807,0.864106276594451,26.368185953178937,0.666640496192196,29.557311071030057,14.117253912231075,583,21.847341337907377,5.3722226583967965,33.11611839522651,26.4740519745623,9.884588207584203,4.4987045615137,9.130878542827983,2.8342623851770434,1.8999764465729763,12.805213158514563,3.1954149328727333,1.3660987673706524,27.910811023003845,emission:0.3501; energy:0.3369; climate:0.2290; carbon:0.2092; change:0.1982; global:0.1850; gas:0.1652; power:0.1608; nuclear:0.1592; 2011:0.1240
Wiki_CCM_2022-06-13.spacy,20477,17943,10835,0.2544531610521458,0.8526846709054458,26.48636186834209,0.6482193613108176,32.39970922939071,13.938571585025887,786,22.828244274809162,5.309814412305634,35.00529454383325,30.518865295658475,10.895613888424455,5.066042467814746,10.042913671069497,3.1321406676698436,2.0119266566348997,13.325530847684334,3.767485927659812,1.4434598450649279,19.79602073231901,emission:0.3276; climate:0.3189; energy:0.2506; change:0.2488; carbon:0.2488; global:0.1629; reduce:0.1489; gas:0.1489; mitigation:0.1324; 2021:0.1090
