document,total_paragraphs,avg_VADER_compound,VADER_positive,VADER_negative,VADER_neutral,roberta_positive,roberta_negative,roberta_neutral,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise
AR4_WG3_SPM.txt,167,0.2985233532934131,58.08383233532935,22.75449101796407,19.16167664670659,36.52694610778443,4.790419161676647,58.68263473053892,0.0,2.3952095808383236,1.7964071856287425,0.0,95.80838323353294,0.0,0.0
AR6_WG3_SPM.txt,108,0.5339425925925924,80.55555555555556,17.59259259259259,1.8518518518518516,57.407407407407405,7.4074074074074066,35.18518518518518,0.0,0.0,1.8518518518518516,0.0,98.14814814814815,0.0,0.0
AR1_WG3_SPM.txt,79,0.6812886075949367,87.34177215189874,12.658227848101266,0.0,29.11392405063291,5.063291139240507,65.82278481012658,1.2658227848101267,0.0,5.063291139240507,1.2658227848101267,92.40506329113924,0.0,0.0
AR5_WG3_SPM.txt,112,0.38602500000000006,74.10714285714286,24.107142857142858,1.7857142857142856,50.0,10.714285714285714,39.285714285714285,0.0,0.0,0.8928571428571428,0.0,99.10714285714286,0.0,0.0
AR2_WG3_SPM.txt,205,0.17146146341463403,54.63414634146342,28.292682926829265,17.073170731707318,24.390243902439025,8.292682926829269,67.31707317073172,0.0,0.4878048780487805,2.4390243902439024,0.4878048780487805,96.09756097560975,0.4878048780487805,0.0
Wiki_CCM_2005-06-26.txt,12,0.3806583333333333,83.33333333333334,16.666666666666664,0.0,8.333333333333332,16.666666666666664,75.0,0.0,8.333333333333332,16.666666666666664,0.0,75.0,0.0,0.0
Wiki_CCM_2008-05-07.txt,92,0.42687826086956543,76.08695652173914,16.304347826086957,7.608695652173914,33.69565217391305,8.695652173913043,57.608695652173914,4.3478260869565215,0.0,10.869565217391305,2.1739130434782608,81.52173913043478,1.0869565217391304,0.0
AR3_WG3_SPM.txt,72,0.36645416666666664,70.83333333333334,19.444444444444446,9.722222222222223,47.22222222222222,1.3888888888888888,51.388888888888886,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Wiki_CCM_2014-09-02.txt,118,0.30417627118644064,54.23728813559322,11.864406779661017,33.89830508474576,18.64406779661017,5.084745762711865,76.27118644067797,1.694915254237288,0.847457627118644,8.47457627118644,0.847457627118644,86.4406779661017,1.694915254237288,0.0
Wiki_CCM_2022-06-13.txt,126,0.4049714285714284,65.87301587301587,13.492063492063492,20.634920634920633,28.57142857142857,7.936507936507936,63.49206349206349,2.380952380952381,3.1746031746031744,4.761904761904762,0.0,89.68253968253968,0.0,0.0
